IndicatorID	IndicatorDesc	Unit	Region	Sex	AgeGroup	YearsOfSchooling	Occupation	2000.FN	2000.Source	2000.Value	2001.FN	2001.Source	2001.Value	2002.FN	2002.Source	2002.Value	2003.FN	2003.Source	2003.Value	2004.FN	2004.Source	2004.Value	2005.FN	2005.Source	2005.Value	2006.FN	2006.Source	2006.Value	2007.FN	2007.Source	2007.Value	2008.FN	2008.Source	2008.Value	2009.FN	2009.Source	2009.Value	2010.FN	2010.Source	2010.Value	2011.FN	2011.Source	2011.Value	2012.FN	2012.Source	2012.Value	2013.FN	2013.Source	2013.Value	2014.FN	2014.Source	2014.Value	2015.FN	2015.Source	2015.Value	2016.FN	2016.Source	2016.Value	2017.FN	2017.Source	2017.Value
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	percentage	West Bank	Both	All	All																														Labour Force Survey (LFS)	61.3		Labour Force Survey (LFS)	56		Labour Force Survey (LFS)	51.9		Labour Force Survey (LFS)	52.7		Labour Force Survey (LFS)	54.1		Labour Force Survey (LFS)	54.6		Labour Force Survey (LFS)	60.6		Labour Force Survey (LFS)	61.4		Labour Force Survey (LFS)	59.7
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Gaza	Both	All	All	All		Labor Force	64.1		Labor Force	54.4		Labor Force	56.6		Labor Force	55.7		Labor Force	59.2		Labor Force	62.3		Labor Force	69.1		Labor Force	65.1		Labor Force	60.9		Labor Force	62.7		Labor Force	58.2		Labor Force	61.6		Labor Force	64.3		Labor Force	63.2		Labor Force	64		Labor Force	61.9		Labor Force	61.7			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	15-17	All	All		Labor Force	48.1		Labor Force	46		Labor Force	43.2		Labor Force	35.4		Labor Force	39.4		Labor Force	40.2		Labor Force	46.3		Labor Force	50.9		Labor Force	50.3		Labor Force	56.5		Labor Force	52		Labor Force	41.6		Labor Force	45.5		Labor Force	52		Labor Force	52.8		Labor Force	50.3		Labor Force	58.5			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	18-19	All	All		Labor Force	57.9		Labor Force	59.4		Labor Force	56.4		Labor Force	52.6		Labor Force	50.6		Labor Force	54.8		Labor Force	57.1		Labor Force	58.7		Labor Force	60.7		Labor Force	63.2		Labor Force	63.1		Labor Force	59		Labor Force	55		Labor Force	63.1		Labor Force	67.5		Labor Force	65.8		Labor Force	73.8			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	20-29	All	All		Labor Force	69.5		Labor Force	64.2		Labor Force	64.3		Labor Force	62.8		Labor Force	64.2		Labor Force	67		Labor Force	70.4		Labor Force	70.2		Labor Force	76.5		Labor Force	75.8		Labor Force	76.8		Labor Force	73.8		Labor Force	75.1		Labor Force	81.9		Labor Force	83.2		Labor Force	84.3		Labor Force	86.3			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	30-39	All	All		Labor Force	82.9		Labor Force	75.1		Labor Force	74.2		Labor Force	73		Labor Force	75.6		Labor Force	79.7		Labor Force	85.3		Labor Force	86.6		Labor Force	91.1		Labor Force	95.8		Labor Force	96.3		Labor Force	100.4		Labor Force	101.4		Labor Force	103.3		Labor Force	109.4		Labor Force	1124		Labor Force	119			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	40-49	All	All		Labor Force	89.3		Labor Force	81.6		Labor Force	84		Labor Force	87.4		Labor Force	86.6		Labor Force	89.7		Labor Force	94.7		Labor Force	93.8		Labor Force	98.6		Labor Force	107.7		Labor Force	107.3		Labor Force	111.3		Labor Force	112.5		Labor Force	116.9		Labor Force	122.2		Labor Force	127.6		Labor Force	134.3			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	50-59	All	All		Labor Force	85.8		Labor Force	88.8		Labor Force	89.2		Labor Force	88.6		Labor Force	97.2		Labor Force	97.8		Labor Force	102.2		Labor Force	100.9		Labor Force	103.5		Labor Force	116.3		Labor Force	117.6		Labor Force	115.4		Labor Force	120.9		Labor Force	122.2		Labor Force	129.4		Labor Force	131.6		Labor Force	138.4			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	60+	All	All		Labor Force	76.4		Labor Force	82.3		Labor Force	83		Labor Force	93.6		Labor Force	78.1		Labor Force	89.4		Labor Force	91.2		Labor Force	104.6		Labor Force	100		Labor Force	99.5		Labor Force	123.3		Labor Force	106.8		Labor Force	108.9		Labor Force	104.8		Labor Force	107.5		Labor Force	115		Labor Force	130.4			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	All		Labor Force	76.6		Labor Force	71.9		Labor Force	72.6		Labor Force	72.2		Labor Force	73.8		Labor Force	77		Labor Force	81.5		Labor Force	81.9		Labor Force	87		Labor Force	91.3		Labor Force	91.7		Labor Force	91.7		Labor Force	92.9		Labor Force	97.2		Labor Force	101.8		Labor Force	103.9		Labor Force	109.3			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	Craft and Related Trade Workers		Labor Force	89.8		Labor Force	82.4		Labor Force	85.1		Labor Force	83.5		Labor Force	80.4		Labor Force	87.5		Labor Force	91.7		Labor Force	90.3		Labor Force	104.6		Labor Force	103.2		Labor Force	105.3		Labor Force	104.5		Labor Force	111.1		Labor Force	130.4		Labor Force	141.8		Labor Force	144.5		Labor Force	157			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	Elementary Occupations		Labor Force	76.1		Labor Force	70.4		Labor Force	66.3		Labor Force	62.3		Labor Force	64.7		Labor Force	66.7		Labor Force	68.8		Labor Force	73.3		Labor Force	81		Labor Force	85		Labor Force	82.7		Labor Force	81.4		Labor Force	80.7		Labor Force	82		Labor Force	91.1		Labor Force	93.6		Labor Force	98.7			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	Legislators, Senior Officials & Managers		Labor Force	119.4		Labor Force	112.4		Labor Force	126.7		Labor Force	127.3		Labor Force	134.7		Labor Force	132.5		Labor Force	134.1		Labor Force	140.1		Labor Force	143.3		Labor Force	150.1		Labor Force	156.3		Labor Force	157.8		Labor Force	160		Labor Force	158		Labor Force	178.9		Labor Force	175.2		Labor Force	177.7			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	Plant & Machine Operators & Assemblers		Labor Force	77.4		Labor Force	70.7		Labor Force	72.4		Labor Force	70.4		Labor Force	74.5		Labor Force	78.2		Labor Force	77.8		Labor Force	75.4		Labor Force	81.6		Labor Force	88.8		Labor Force	92		Labor Force	95		Labor Force	85.4		Labor Force	86		Labor Force	86.1		Labor Force	83		Labor Force	87.5			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	Professionals, Technicians, Associates and Clerks		Labor Force	71.9		Labor Force	72.2		Labor Force	73.4		Labor Force	74.8		Labor Force	78.5		Labor Force	82.5		Labor Force	90.3		Labor Force	88.4		Labor Force	87.9		Labor Force	94.8		Labor Force	95.2		Labor Force	98.2		Labor Force	98.5		Labor Force	98.1		Labor Force	98.9		Labor Force	102.5		Labor Force	104.4			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	Service, Shop & Market Workers		Labor Force	57.9		Labor Force	54.4		Labor Force	54.6		Labor Force	55		Labor Force	54.8		Labor Force	59.5		Labor Force	66.9		Labor Force	66.1		Labor Force	69.8		Labor Force	69.1		Labor Force	71.9		Labor Force	68.7		Labor Force	67.3		Labor Force	69.7		Labor Force	69.7		Labor Force	69.3		Labor Force	71.7			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Both	All	All	Skilled Agricultural & Fishery Workers		Labor Force	68.1		Labor Force	55		Labor Force	58.5		Labor Force	45.3		Labor Force	48		Labor Force	50.1		Labor Force	50.8		Labor Force	54.7		Labor Force	53		Labor Force	65.1		Labor Force	64.5		Labor Force	68.6		Labor Force	70.6		Labor Force	99.9		Labor Force	82.1		Labor Force	115.4		Labor Force	99.4			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Female	All	All	All		Labor Force	55.1		Labor Force	56.3		Labor Force	61.3		Labor Force	61.9		Labor Force	63.8		Labor Force	66.9		Labor Force	70.6		Labor Force	70.1		Labor Force	72.9		Labor Force	77.1		Labor Force	77.1		Labor Force	79.1		Labor Force	82.3		Labor Force	81.4		Labor Force	80.9		Labor Force	82		Labor Force	83.3			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		Pal	Male	All	All	All		Labor Force	79.6		Labor Force	74.6		Labor Force	74.8		Labor Force	74.2		Labor Force	75.9		Labor Force	78.7		Labor Force	83.4		Labor Force	84.1		Labor Force	90		Labor Force	94.4		Labor Force	94.5		Labor Force	94.2		Labor Force	98.8		Labor Force	100.2		Labor Force	105.8		Labor Force	108		Labor Force	114.1			
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities		West Bank	Both	All	All	All		Labor Force	82.8		Labor Force	79.3		Labor Force	80.9		Labor Force	81.8		Labor Force	81.6		Labor Force	84.4		Labor Force	87.5		Labor Force	88.4		Labor Force	94.1		Labor Force	99.3		Labor Force	102		Labor Force	102.1		Labor Force	103.5		Labor Force	109.7		Labor Force	113.2		Labor Force	120.1		Labor Force	128			
8.5.2	Unemployment rate, by sex, and age 	percentage	Gaza	Both	All	All			National Accounts Statistics	18.9		National Accounts Statistics	34		National Accounts Statistics	37.9		National Accounts Statistics	29.1		National Accounts Statistics	35.3		National Accounts Statistics	30.3		National Accounts Statistics	34.8		National Accounts Statistics	29.7		National Accounts Statistics	40.6		National Accounts Statistics	38.6		National Accounts Statistics	37.8		National Accounts Statistics	28.66846016		National Accounts Statistics	31		National Accounts Statistics	32.6		National Accounts Statistics	43.9		National Accounts Statistics	41		National Accounts Statistics	41.7		National Accounts Statistics	48.2
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	  10-17	All			National Accounts Statistics	17.5		National Accounts Statistics	34.3		National Accounts Statistics	40.9		National Accounts Statistics	27.2		National Accounts Statistics	29.3		National Accounts Statistics	24		National Accounts Statistics	18.1		National Accounts Statistics	17.9		National Accounts Statistics	24		National Accounts Statistics	24.2		National Accounts Statistics	23.9		National Accounts Statistics	24		National Accounts Statistics	29.6		National Accounts Statistics	31.8		National Accounts Statistics	29		National Accounts Statistics	27		National Accounts Statistics	28.1			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	15-24	All			National Accounts Statistics	20.6		National Accounts Statistics	35.8		National Accounts Statistics	42.9		National Accounts Statistics	38.5		National Accounts Statistics	40		National Accounts Statistics	36.5		National Accounts Statistics	35.8		National Accounts Statistics	35.3		National Accounts Statistics	40.9		National Accounts Statistics	38.9		National Accounts Statistics	38.8		National Accounts Statistics	35.7		National Accounts Statistics	38.8		National Accounts Statistics	41		National Accounts Statistics	43.6		National Accounts Statistics	40.7		National Accounts Statistics	41.7			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	15+	All			National Accounts Statistics	14.3		National Accounts Statistics	25.3		National Accounts Statistics	31.2		National Accounts Statistics	25.5		National Accounts Statistics	26.8		National Accounts Statistics	23.5		National Accounts Statistics	23.7		National Accounts Statistics	21.7		National Accounts Statistics	26.6		National Accounts Statistics	24.5		National Accounts Statistics	23.7		National Accounts Statistics	20.9		National Accounts Statistics	23		National Accounts Statistics	23.4		National Accounts Statistics	26.9		National Accounts Statistics	25.9		National Accounts Statistics	26.9			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	18-19	All			National Accounts Statistics	22		National Accounts Statistics	39.8		National Accounts Statistics	46.7		National Accounts Statistics	43.5		National Accounts Statistics	44.9		National Accounts Statistics	42.2		National Accounts Statistics	39.9		National Accounts Statistics	39.2		National Accounts Statistics	44.4		National Accounts Statistics	40.2		National Accounts Statistics	40.3		National Accounts Statistics	35		National Accounts Statistics	37		National Accounts Statistics	42.4		National Accounts Statistics	44.7		National Accounts Statistics	40.1		National Accounts Statistics	41.5			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	20-29	All			National Accounts Statistics	18.2		National Accounts Statistics	30.3		National Accounts Statistics	36.4		National Accounts Statistics	31.8		National Accounts Statistics	33		National Accounts Statistics	30.1		National Accounts Statistics	31.1		National Accounts Statistics	29.8		National Accounts Statistics	36		National Accounts Statistics	34.7		National Accounts Statistics	34.4		National Accounts Statistics	32.3		National Accounts Statistics	35		National Accounts Statistics	36.1		National Accounts Statistics	40.6		National Accounts Statistics	39.1		National Accounts Statistics	39.9			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	25+	All			National Accounts Statistics	12.2		National Accounts Statistics	22.1		National Accounts Statistics	28		National Accounts Statistics	21.7		National Accounts Statistics	23		National Accounts Statistics	19.8		National Accounts Statistics	20.2		National Accounts Statistics	17.6		National Accounts Statistics	22.1		National Accounts Statistics	20.1		National Accounts Statistics	19.2		National Accounts Statistics	16.1		National Accounts Statistics	17.7		National Accounts Statistics	17.7		National Accounts Statistics	21.4		National Accounts Statistics	20.9		National Accounts Statistics	21.9			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	30-39	All			National Accounts Statistics	12.7		National Accounts Statistics	22.8		National Accounts Statistics	30		National Accounts Statistics	22		National Accounts Statistics	22.9		National Accounts Statistics	19.4		National Accounts Statistics	19.8		National Accounts Statistics	16.4		National Accounts Statistics	21		National Accounts Statistics	18.2		National Accounts Statistics	16.6		National Accounts Statistics	13.5		National Accounts Statistics	15.4		National Accounts Statistics	15.3		National Accounts Statistics	20		National Accounts Statistics	19.6		National Accounts Statistics	20.7			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	40-49	All			National Accounts Statistics	10.3		National Accounts Statistics	20.5		National Accounts Statistics	25.4		National Accounts Statistics	20.5		National Accounts Statistics	22.3		National Accounts Statistics	18.2		National Accounts Statistics	18.4		National Accounts Statistics	16.2		National Accounts Statistics	19		National Accounts Statistics	16.8		National Accounts Statistics	15.9		National Accounts Statistics	12.6		National Accounts Statistics	13.1		National Accounts Statistics	11.6		National Accounts Statistics	14.1		National Accounts Statistics	12.2		National Accounts Statistics	13.6			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	50-59	All			National Accounts Statistics	8.6		National Accounts Statistics	17.6		National Accounts Statistics	22.3		National Accounts Statistics	18.5		National Accounts Statistics	20.4		National Accounts Statistics	18		National Accounts Statistics	18.1		National Accounts Statistics	15.4		National Accounts Statistics	18.2		National Accounts Statistics	16.3		National Accounts Statistics	16.4		National Accounts Statistics	11.8		National Accounts Statistics	12.1		National Accounts Statistics	12.6		National Accounts Statistics	13.7		National Accounts Statistics	13.5		National Accounts Statistics	14.1			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	60+	All			National Accounts Statistics	4.3		National Accounts Statistics	7.8		National Accounts Statistics	14.1		National Accounts Statistics	9.3		National Accounts Statistics	10.7		National Accounts Statistics	8.4		National Accounts Statistics	6.2		National Accounts Statistics	7.3		National Accounts Statistics	11.3		National Accounts Statistics	11.2		National Accounts Statistics	10.1		National Accounts Statistics	5.8		National Accounts Statistics	6		National Accounts Statistics	6.2		National Accounts Statistics	7.1		National Accounts Statistics	9.5		National Accounts Statistics	8.2			
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	All	0			National Accounts Statistics	6.2		National Accounts Statistics	12.2		National Accounts Statistics	17.4		National Accounts Statistics	12.2		National Accounts Statistics	14.3		National Accounts Statistics	7.9		National Accounts Statistics	8.1		National Accounts Statistics	8.7		National Accounts Statistics	12.3		National Accounts Statistics	15.3		National Accounts Statistics	13.8		National Accounts Statistics	11.9		National Accounts Statistics	9.4		National Accounts Statistics	13		National Accounts Statistics	15.3		National Accounts Statistics	14.7						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	All	1-6			National Accounts Statistics	16.1		National Accounts Statistics	30.8		National Accounts Statistics	37.6		National Accounts Statistics	28.5		National Accounts Statistics	31		National Accounts Statistics	26		National Accounts Statistics	27.7		National Accounts Statistics	22.6		National Accounts Statistics	29.6		National Accounts Statistics	26.9		National Accounts Statistics	25.7		National Accounts Statistics	19.7		National Accounts Statistics	20.6		National Accounts Statistics	19.8		National Accounts Statistics	25.8		National Accounts Statistics	25						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	All	10-12			National Accounts Statistics	14.3		National Accounts Statistics	27.3		National Accounts Statistics	33.7		National Accounts Statistics	26.8		National Accounts Statistics	27.9		National Accounts Statistics	23.6		National Accounts Statistics	24.1		National Accounts Statistics	22.6		National Accounts Statistics	26.6		National Accounts Statistics	24.5		National Accounts Statistics	23.2		National Accounts Statistics	19.2		National Accounts Statistics	20.7		National Accounts Statistics	21		National Accounts Statistics	24.1		National Accounts Statistics	23.4						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	All	13+			National Accounts Statistics	12.7		National Accounts Statistics	15.8		National Accounts Statistics	18.7		National Accounts Statistics	19.7		National Accounts Statistics	21.2		National Accounts Statistics	21.8		National Accounts Statistics	21		National Accounts Statistics	20.5		National Accounts Statistics	24.9		National Accounts Statistics	23.5		National Accounts Statistics	23.1		National Accounts Statistics	23.7		National Accounts Statistics	27		National Accounts Statistics	27.9		National Accounts Statistics	31.6		National Accounts Statistics	29.9						
8.5.2	Unemployment rate, by sex, and age 	percentage	Pal	Both	All	7-9			National Accounts Statistics	15.5		National Accounts Statistics	29.8		National Accounts Statistics	37.4		National Accounts Statistics	29		National Accounts Statistics	29.7		National Accounts Statistics	25		National Accounts Statistics	25.4		National Accounts Statistics	22.8		National Accounts Statistics	28.2		National Accounts Statistics	25.5		National Accounts Statistics	24.8		National Accounts Statistics	20.5		National Accounts Statistics	21.8		National Accounts Statistics	21.7		National Accounts Statistics	24.6		National Accounts Statistics	23.5						
