IndicatorID	IndicatorDesc	Source	Unit	Period	Region	Sex	AgeGroup	YearsOfSchooling	Occupation	Value	FN
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2005	Gaza	Both	All	All		16.0797469	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2006	Gaza	Both	All	All		-20.25472852	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2007	Gaza	Both	All	All		-9.566516123	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2008	Gaza	Both	All	All		-11.40389832	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2009	Gaza	Both	All	All		4.07730854	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2010	Gaza	Both	All	All		7.857158312	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2011	Gaza	Both	All	All		13.72497368	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2012	Gaza	Both	All	All		3.378904665	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2013	Gaza	Both	All	All		2.064973329	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2014	Gaza	Both	All	All		-17.90985248	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2015	Gaza	Both	All	All		2.591598868	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2016	Gaza	Both	All	All		5.807200929	* Base year for national accounts is 2015
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2001	Pal	Both	All	All		9.492106838	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2002	Pal	Both	All	All		-7.992450607	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2003	Pal	Both	All	All		-4.776544103	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2004	Pal	Both	All	All		7.963159886	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2005	Pal	Both	All	All		0.967234027	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2006	Pal	Both	All	All		-8.649272206	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2007	Pal	Both	All	All		-1.909029697	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2008	Pal	Both	All	All		10.85337438	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2009	Pal	Both	All	All		0.961720223	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2010	Pal	Both	All	All		3.585781888	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2011	Pal	Both	All	All		-1.65341001	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2012	Pal	Both	All	All		1.338430013	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2013	Pal	Both	All	All		-2.166860165	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2014	Pal	Both	All	All		-4.255423777	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2015	Pal	Both	All	All		-1.671475484	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2016	Pal	Both	All	All		3.104040555	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2001	West Bank	Both	All	All		2.024468598	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2002	West Bank	Both	All	All		-7.805418304	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2003	West Bank	Both	All	All		-4.762271453	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2004	West Bank	Both	All	All		4.706611713	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2005	West Bank	Both	All	All		-2.06846666	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2006	West Bank	Both	All	All		-4.491046825	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2007	West Bank	Both	All	All		7.755534404	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2008	West Bank	Both	All	All		13.01954929	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2009	West Bank	Both	All	All		0.816554537	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2010	West Bank	Both	All	All		1.823001391	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2011	West Bank	Both	All	All		0.835226814	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2012	West Bank	Both	All	All		1.242599991	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2013	West Bank	Both	All	All		-3.437221427	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2014	West Bank	Both	All	All		-3.487179308	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2015	West Bank	Both	All	All		-0.18128014	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2016	West Bank	Both	All	All		3.085465863	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2001	Gaza	Both	All	All		28.96312572	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2002	Gaza	Both	All	All		-9.039187414	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2003	Gaza	Both	All	All		-5.566525049	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2004	Gaza	Both	All	All		15.87724358	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2005	Gaza	Both	All	All		5.864203639	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2006	Gaza	Both	All	All		-14.51207892	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2007	Gaza	Both	All	All		-21.23498433	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2008	Gaza	Both	All	All		3.284261065	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2009	Gaza	Both	All	All		1.088251691	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2010	Gaza	Both	All	All		8.794472183	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2011	Gaza	Both	All	All		-6.612945619	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2012	Gaza	Both	All	All		1.699318182	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2013	Gaza	Both	All	All		1.376914469	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2014	Gaza	Both	All	All		-9.018802036	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2015	Gaza	Both	All	All		-4.762757485	* Base year for national accounts is 2015; ** MDG indicator
8.2.1	Annual growth rate of real GDP per employed person	National Accounts Statistics	percentage	2016	Gaza	Both	All	All		3.854323172	* Base year for national accounts is 2015; ** MDG indicator
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2009	Pal	Both	All	All		54.5	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2010	Pal	Both	All	All		51.7	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2011	Pal	Both	All	All		50.1	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2012	Pal	Both	All	All		50.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2013	Pal	Both	All	All		51.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2014	Pal	Both	All	All		51.2	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2015	Pal	Both	All	All		58.2	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2016	Pal	Both	All	All		59.2	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2017	Pal	Both	All	All		56.6	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2009	West Bank	Both	All	All		61.3	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2010	West Bank	Both	All	All		56	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2011	West Bank	Both	All	All		51.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2012	West Bank	Both	All	All		52.7	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2013	West Bank	Both	All	All		54.1	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2014	West Bank	Both	All	All		54.6	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2015	West Bank	Both	All	All		60.6	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2016	West Bank	Both	All	All		61.4	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2017	West Bank	Both	All	All		59.7	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2009	Gaza	Both	All	All		37.2	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2010	Gaza	Both	All	All		40.3	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2011	Gaza	Both	All	All		45.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2012	Gaza	Both	All	All		47	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2013	Gaza	Both	All	All		47	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2014	Gaza	Both	All	All		42.4	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2015	Gaza	Both	All	All		52.6	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2016	Gaza	Both	All	All		54.1	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2017	Gaza	Both	All	All		49.4	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2009	Pal	Males	All	All		54.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2010	Pal	Males	All	All		53.8	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2011	Pal	Males	All	All		51.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2012	Pal	Males	All	All		52.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2013	Pal	Males	All	All		53.5	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2014	Pal	Males	All	All		52.2	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2015	Pal	Males	All	All		60.6	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2016	Pal	Males	All	All		62	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2017	Pal	Males	All	All		59.6	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2009	Pal	Females	All	All		52.5	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2010	Pal	Females	All	All		39.7	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2011	Pal	Females	All	All		40.3	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2012	Pal	Females	All	All		39.7	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2013	Pal	Females	All	All		42.2	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2014	Pal	Females	All	All		46.1	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2015	Pal	Females	All	All		45.8	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2016	Pal	Females	All	All		43.9	
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	Labour Force Survey (LFS)	percentage	2017	Pal	Females	All	All		39.5	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2000	Pal	Both	All	All	All	76.6	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2001	Pal	Both	All	All	All	71.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2002	Pal	Both	All	All	All	72.6	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2003	Pal	Both	All	All	All	72.2	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2004	Pal	Both	All	All	All	73.8	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2005	Pal	Both	All	All	All	77	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2006	Pal	Both	All	All	All	81.5	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2007	Pal	Both	All	All	All	81.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2008	Pal	Both	All	All	All	87	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2009	Pal	Both	All	All	All	91.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2010	Pal	Both	All	All	All	91.7	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2011	Pal	Both	All	All	All	91.7	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2012	Pal	Both	All	All	All	92.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2013	Pal	Both	All	All	All	97.2	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2014	Pal	Both	All	All	All	101.8	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2015	Pal	Both	All	All	All	103.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2016	Pal	Both	All	All	All	109.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2000	West Bank	Both	All	All	All	82.8	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2001	West Bank	Both	All	All	All	79.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2002	West Bank	Both	All	All	All	80.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2003	West Bank	Both	All	All	All	81.8	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2004	West Bank	Both	All	All	All	81.6	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2005	West Bank	Both	All	All	All	84.4	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2006	West Bank	Both	All	All	All	87.5	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2007	West Bank	Both	All	All	All	88.4	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2008	West Bank	Both	All	All	All	94.1	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2009	West Bank	Both	All	All	All	99.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2010	West Bank	Both	All	All	All	102	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2011	West Bank	Both	All	All	All	102.1	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2012	West Bank	Both	All	All	All	103.5	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2013	West Bank	Both	All	All	All	109.7	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2014	West Bank	Both	All	All	All	113.2	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2015	West Bank	Both	All	All	All	120.1	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2016	West Bank	Both	All	All	All	128	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2000	Gaza	Both	All	All	All	64.1	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2001	Gaza	Both	All	All	All	54.4	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2002	Gaza	Both	All	All	All	56.6	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2003	Gaza	Both	All	All	All	55.7	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2004	Gaza	Both	All	All	All	59.2	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2005	Gaza	Both	All	All	All	62.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2006	Gaza	Both	All	All	All	69.1	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2007	Gaza	Both	All	All	All	65.1	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2008	Gaza	Both	All	All	All	60.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2009	Gaza	Both	All	All	All	62.7	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2010	Gaza	Both	All	All	All	58.2	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2011	Gaza	Both	All	All	All	61.6	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2012	Gaza	Both	All	All	All	64.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2013	Gaza	Both	All	All	All	63.2	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2014	Gaza	Both	All	All	All	64	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2015	Gaza	Both	All	All	All	61.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2016	Gaza	Both	All	All	All	61.7	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2000	Pal	Female	All	All	All	55.1	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2001	Pal	Female	All	All	All	56.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2002	Pal	Female	All	All	All	61.3	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2003	Pal	Female	All	All	All	61.9	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2004	Pal	Female	All	All	All	63.8	
8.5.1	Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Labor Force		2005	Pal	Female	All	All	All	66.9	
